lad22cd,lad22nm,sex_2,age_common,cob_common,value_21,value_11
E09000027,Richmond upon Thames,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",789,1182
E09000027,Richmond upon Thames,Female,Aged 16 to 49,Ireland,607,866
E09000027,Richmond upon Thames,Female,Aged 16 to 49,Middle East and Asia,4258,3580
E09000027,Richmond upon Thames,Female,Aged 16 to 49,Rest of Europe,8387,5925
E09000027,Richmond upon Thames,Female,Aged 16 to 49,The Americas and the Caribbean,2284,1899
E09000027,Richmond upon Thames,Female,Aged 16 to 49,United Kingdom,26351,31548
E09000027,Richmond upon Thames,Male,Aged 16 to 49,Africa,1563,2214
E09000027,Richmond upon Thames,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",723,1111
E09000027,Richmond upon Thames,Male,Aged 16 to 49,Ireland,504,700
E09000027,Richmond upon Thames,Male,Aged 16 to 49,Middle East and Asia,3141,3144
E09000027,Richmond upon Thames,Male,Aged 16 to 49,Rest of Europe,6175,4395
E09000027,Richmond upon Thames,Male,Aged 16 to 49,The Americas and the Caribbean,1480,1337
E09000027,Richmond upon Thames,Male,Aged 16 to 49,United Kingdom,27020,32673
E09000028,Southwark,Female,Aged 16 to 49,Africa,10103,14332
E09000028,Southwark,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1315,1683
E09000028,Southwark,Female,Aged 16 to 49,Ireland,898,1151
E09000028,Southwark,Female,Aged 16 to 49,Middle East and Asia,8943,7820
E09000028,Southwark,Female,Aged 16 to 49,Rest of Europe,16040,11858
E09000028,Southwark,Female,Aged 16 to 49,The Americas and the Caribbean,8486,6196
E09000028,Southwark,Female,Aged 16 to 49,United Kingdom,47607,45379
E09000028,Southwark,Male,Aged 16 to 49,Africa,7558,12574
E09000028,Southwark,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1181,1741
E09000028,Southwark,Male,Aged 16 to 49,Ireland,889,1068
E09000028,Southwark,Male,Aged 16 to 49,Middle East and Asia,6913,7367
E09000028,Southwark,Male,Aged 16 to 49,Rest of Europe,14326,11655
E09000028,Southwark,Male,Aged 16 to 49,The Americas and the Caribbean,7296,5645
E09000028,Southwark,Male,Aged 16 to 49,United Kingdom,48624,47877
E09000029,Sutton,Female,Aged 16 to 49,Africa,2651,2809
E09000029,Sutton,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",212,222
E09000029,Sutton,Female,Aged 16 to 49,Ireland,248,339
E09000029,Sutton,Female,Aged 16 to 49,Middle East and Asia,7897,4687
E09000029,Sutton,Female,Aged 16 to 49,Rest of Europe,7125,3495
E09000029,Sutton,Female,Aged 16 to 49,The Americas and the Caribbean,1200,802
E09000029,Sutton,Female,Aged 16 to 49,United Kingdom,29799,34790
E09000029,Sutton,Male,Aged 16 to 49,Africa,2226,2488
E09000029,Sutton,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",187,228
E09000029,Sutton,Male,Aged 16 to 49,Ireland,227,278
E09000029,Sutton,Male,Aged 16 to 49,Middle East and Asia,6785,4395
E09000029,Sutton,Male,Aged 16 to 49,Rest of Europe,6157,2798
E09000029,Sutton,Male,Aged 16 to 49,The Americas and the Caribbean,843,560
E09000029,Sutton,Male,Aged 16 to 49,United Kingdom,29392,34349
E09000030,Tower Hamlets,Female,Aged 16 to 49,Africa,4663,4262
E09000030,Tower Hamlets,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1445,1795
E09000030,Tower Hamlets,Female,Aged 16 to 49,Ireland,668,787
E09000030,Tower Hamlets,Female,Aged 16 to 49,Middle East and Asia,26121,21213
E09000030,Tower Hamlets,Female,Aged 16 to 49,Rest of Europe,20477,11179
E09000030,Tower Hamlets,Female,Aged 16 to 49,The Americas and the Caribbean,4367,3044
E09000030,Tower Hamlets,Female,Aged 16 to 49,United Kingdom,43480,36530
E09000030,Tower Hamlets,Male,Aged 16 to 49,Africa,4347,4368
E09000030,Tower Hamlets,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",1383,1902
E09000030,Tower Hamlets,Male,Aged 16 to 49,Ireland,821,947
E09000030,Tower Hamlets,Male,Aged 16 to 49,Middle East and Asia,23167,22764
E09000030,Tower Hamlets,Male,Aged 16 to 49,Rest of Europe,20469,12328
E09000030,Tower Hamlets,Male,Aged 16 to 49,The Americas and the Caribbean,3966,2962
E09000030,Tower Hamlets,Male,Aged 16 to 49,United Kingdom,46831,40880
E09000031,Waltham Forest,Female,Aged 16 to 49,Africa,4936,6741
E09000031,Waltham Forest,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",658,442
E09000031,Waltham Forest,Female,Aged 16 to 49,Ireland,550,600
E09000031,Waltham Forest,Female,Aged 16 to 49,Middle East and Asia,7602,8749
E09000031,Waltham Forest,Female,Aged 16 to 49,Rest of Europe,18715,13939
E09000031,Waltham Forest,Female,Aged 16 to 49,The Americas and the Caribbean,2967,2669
E09000031,Waltham Forest,Female,Aged 16 to 49,United Kingdom,39705,36562
E09000031,Waltham Forest,Male,Aged 16 to 49,Africa,4098,6919
E09000031,Waltham Forest,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",596,386
E09000031,Waltham Forest,Male,Aged 16 to 49,Ireland,516,583
E09000031,Waltham Forest,Male,Aged 16 to 49,Middle East and Asia,7269,11029
E09000031,Waltham Forest,Male,Aged 16 to 49,Rest of Europe,18600,14472
E09000031,Waltham Forest,Male,Aged 16 to 49,The Americas and the Caribbean,2108,2084
E09000031,Waltham Forest,Male,Aged 16 to 49,United Kingdom,39805,36985
E09000032,Wandsworth,Female,Aged 16 to 49,Africa,6501,7991
E09000032,Wandsworth,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",2795,4611
E09000032,Wandsworth,Female,Aged 16 to 49,Ireland,1652,1594
E09000032,Wandsworth,Female,Aged 16 to 49,Middle East and Asia,9214,8016
E09000032,Wandsworth,Female,Aged 16 to 49,Rest of Europe,20254,14443
E09000032,Wandsworth,Female,Aged 16 to 49,The Americas and the Caribbean,6275,4892
E09000032,Wandsworth,Female,Aged 16 to 49,United Kingdom,57047,57799
E09000032,Wandsworth,Male,Aged 16 to 49,Africa,5334,7259
E09000032,Wandsworth,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",2149,3948
E09000032,Wandsworth,Male,Aged 16 to 49,Ireland,1349,1444
E09000032,Wandsworth,Male,Aged 16 to 49,Middle East and Asia,7715,7150
E09000032,Wandsworth,Male,Aged 16 to 49,Rest of Europe,15884,11745
E09000032,Wandsworth,Male,Aged 16 to 49,The Americas and the Caribbean,4507,3813
E09000032,Wandsworth,Male,Aged 16 to 49,United Kingdom,54412,58276
E09000033,Westminster,Female,Aged 16 to 49,Africa,3913,5071
E09000033,Westminster,Female,Aged 16 to 49,"Antarctica, Oceania, and Other",1018,2426
E09000033,Westminster,Female,Aged 16 to 49,Ireland,403,632
E09000033,Westminster,Female,Aged 16 to 49,Middle East and Asia,11704,12903
E09000033,Westminster,Female,Aged 16 to 49,Rest of Europe,17377,14501
E09000033,Westminster,Female,Aged 16 to 49,The Americas and the Caribbean,5291,5401
E09000033,Westminster,Female,Aged 16 to 49,United Kingdom,20293,22102
E09000033,Westminster,Male,Aged 16 to 49,Africa,3168,4712
E09000033,Westminster,Male,Aged 16 to 49,"Antarctica, Oceania, and Other",897,2584
E09000033,Westminster,Male,Aged 16 to 49,Ireland,416,755
E09000033,Westminster,Male,Aged 16 to 49,Middle East and Asia,9892,12905
E09000033,Westminster,Male,Aged 16 to 49,Rest of Europe,15137,15117
E09000033,Westminster,Male,Aged 16 to 49,The Americas and the Caribbean,3731,5127
E09000033,Westminster,Male,Aged 16 to 49,United Kingdom,23055,27277
