lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000025,Couple/lone parent with no dependent children,Other,1208,471,336
E09000025,Couple/lone parent with no dependent children,White: British,7053,5894,8264
E09000025,Couple/lone parent with no dependent children,White: Irish,364,317,445
E09000025,Couple/lone parent with no dependent children,White: Other,4318,1911,809
E09000026,Couple/lone parent with no dependent children,Asian: Bangladeshi,1117,520,176
E09000026,Couple/lone parent with no dependent children,Asian: Chinese,336,318,167
E09000026,Couple/lone parent with no dependent children,Asian: Indian,4420,3643,2129
E09000026,Couple/lone parent with no dependent children,Asian: Other,1298,1161,384
E09000026,Couple/lone parent with no dependent children,Asian: Pakistani,2043,1206,576
E09000026,Couple/lone parent with no dependent children,Black: African,953,545,310
E09000026,Couple/lone parent with no dependent children,Black: Caribbean,1160,833,814
E09000026,Couple/lone parent with no dependent children,Black: Other,207,131,36
E09000026,Couple/lone parent with no dependent children,Mixed: Other,227,169,66
E09000026,Couple/lone parent with no dependent children,Mixed: White and Asian,129,98,76
E09000026,Couple/lone parent with no dependent children,Mixed: White and Black African,70,64,29
E09000026,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,135,86,45
E09000026,Couple/lone parent with no dependent children,Other,1257,489,119
E09000026,Couple/lone parent with no dependent children,White: British,8891,11922,16099
E09000026,Couple/lone parent with no dependent children,White: Irish,489,551,841
E09000026,Couple/lone parent with no dependent children,White: Other,2327,1477,921
E09000027,Couple/lone parent with no dependent children,Asian: Bangladeshi,55,28,12
E09000027,Couple/lone parent with no dependent children,Asian: Chinese,225,206,117
E09000027,Couple/lone parent with no dependent children,Asian: Indian,675,550,394
E09000027,Couple/lone parent with no dependent children,Asian: Other,429,386,85
E09000027,Couple/lone parent with no dependent children,Asian: Pakistani,117,66,45
E09000027,Couple/lone parent with no dependent children,Black: African,159,94,44
E09000027,Couple/lone parent with no dependent children,Black: Caribbean,95,89,69
E09000027,Couple/lone parent with no dependent children,Black: Other,29,25,10
E09000027,Couple/lone parent with no dependent children,Mixed: Other,231,107,56
E09000027,Couple/lone parent with no dependent children,Mixed: White and Asian,190,143,73
E09000027,Couple/lone parent with no dependent children,Mixed: White and Black African,55,41,13
E09000027,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,68,54,26
E09000027,Couple/lone parent with no dependent children,Other,579,272,196
E09000027,Couple/lone parent with no dependent children,White: British,14402,15935,15358
E09000027,Couple/lone parent with no dependent children,White: Irish,704,599,644
E09000027,Couple/lone parent with no dependent children,White: Other,3007,2421,1961
E09000028,Couple/lone parent with no dependent children,Asian: Bangladeshi,246,138,73
E09000028,Couple/lone parent with no dependent children,Asian: Chinese,854,665,299
E09000028,Couple/lone parent with no dependent children,Asian: Indian,695,568,281
E09000028,Couple/lone parent with no dependent children,Asian: Other,710,567,100
E09000028,Couple/lone parent with no dependent children,Asian: Pakistani,214,95,64
E09000028,Couple/lone parent with no dependent children,Black: African,3573,2141,1403
E09000028,Couple/lone parent with no dependent children,Black: Caribbean,2052,1516,1487
E09000028,Couple/lone parent with no dependent children,Black: Other,474,393,130
E09000028,Couple/lone parent with no dependent children,Mixed: Other,536,255,112
E09000028,Couple/lone parent with no dependent children,Mixed: White and Asian,400,160,77
E09000028,Couple/lone parent with no dependent children,Mixed: White and Black African,188,112,77
E09000028,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,308,175,85
E09000028,Couple/lone parent with no dependent children,Other,1545,584,253
E09000028,Couple/lone parent with no dependent children,White: British,14705,13732,13613
E09000028,Couple/lone parent with no dependent children,White: Irish,991,944,1133
E09000028,Couple/lone parent with no dependent children,White: Other,5826,3781,1954
E09000029,Couple/lone parent with no dependent children,Asian: Bangladeshi,101,63,32
E09000029,Couple/lone parent with no dependent children,Asian: Chinese,345,245,119
E09000029,Couple/lone parent with no dependent children,Asian: Indian,862,577,329
E09000029,Couple/lone parent with no dependent children,Asian: Other,921,615,217
E09000029,Couple/lone parent with no dependent children,Asian: Pakistani,306,115,80
E09000029,Couple/lone parent with no dependent children,Black: African,584,296,117
E09000029,Couple/lone parent with no dependent children,Black: Caribbean,393,241,175
E09000029,Couple/lone parent with no dependent children,Black: Other,99,50,14
E09000029,Couple/lone parent with no dependent children,Mixed: Other,171,92,43
E09000029,Couple/lone parent with no dependent children,Mixed: White and Asian,165,118,76
E09000029,Couple/lone parent with no dependent children,Mixed: White and Black African,54,34,17
E09000029,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,107,92,42
E09000029,Couple/lone parent with no dependent children,Other,606,219,101
E09000029,Couple/lone parent with no dependent children,White: British,14617,15983,16688
E09000029,Couple/lone parent with no dependent children,White: Irish,522,483,588
E09000029,Couple/lone parent with no dependent children,White: Other,1972,1258,827
E09000030,Couple/lone parent with no dependent children,Asian: Bangladeshi,3889,2302,1208
E09000030,Couple/lone parent with no dependent children,Asian: Chinese,1270,872,289
E09000030,Couple/lone parent with no dependent children,Asian: Indian,1380,858,225
E09000030,Couple/lone parent with no dependent children,Asian: Other,776,477,87
E09000030,Couple/lone parent with no dependent children,Asian: Pakistani,256,150,83
E09000030,Couple/lone parent with no dependent children,Black: African,853,547,275
E09000030,Couple/lone parent with no dependent children,Black: Caribbean,589,552,473
E09000030,Couple/lone parent with no dependent children,Black: Other,129,157,44
E09000030,Couple/lone parent with no dependent children,Mixed: Other,462,229,92
E09000030,Couple/lone parent with no dependent children,Mixed: White and Asian,390,188,78
E09000030,Couple/lone parent with no dependent children,Mixed: White and Black African,175,85,41
E09000030,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,198,102,48
E09000030,Couple/lone parent with no dependent children,Other,1023,353,178
E09000030,Couple/lone parent with no dependent children,White: British,10520,9824,9504
E09000030,Couple/lone parent with no dependent children,White: Irish,636,507,498
E09000030,Couple/lone parent with no dependent children,White: Other,6673,3515,1771
E09000031,Couple/lone parent with no dependent children,Asian: Bangladeshi,239,123,62
E09000031,Couple/lone parent with no dependent children,Asian: Chinese,273,204,107
E09000031,Couple/lone parent with no dependent children,Asian: Indian,923,755,433
E09000031,Couple/lone parent with no dependent children,Asian: Other,722,620,249
E09000031,Couple/lone parent with no dependent children,Asian: Pakistani,1446,1094,623
E09000031,Couple/lone parent with no dependent children,Black: African,1264,760,498
E09000031,Couple/lone parent with no dependent children,Black: Caribbean,2396,1710,1513
E09000031,Couple/lone parent with no dependent children,Black: Other,367,294,119
E09000031,Couple/lone parent with no dependent children,Mixed: Other,397,177,101
E09000031,Couple/lone parent with no dependent children,Mixed: White and Asian,266,101,71
E09000031,Couple/lone parent with no dependent children,Mixed: White and Black African,128,86,50
E09000031,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,265,155,71
E09000031,Couple/lone parent with no dependent children,Other,1204,451,200
E09000031,Couple/lone parent with no dependent children,White: British,12642,11263,14225
E09000031,Couple/lone parent with no dependent children,White: Irish,734,555,742
E09000031,Couple/lone parent with no dependent children,White: Other,4209,2344,1305
E09000032,Couple/lone parent with no dependent children,Asian: Bangladeshi,112,99,53
E09000032,Couple/lone parent with no dependent children,Asian: Chinese,536,427,205
E09000032,Couple/lone parent with no dependent children,Asian: Indian,1082,937,590
E09000032,Couple/lone parent with no dependent children,Asian: Other,906,742,266
E09000032,Couple/lone parent with no dependent children,Asian: Pakistani,685,477,264
E09000032,Couple/lone parent with no dependent children,Black: African,1269,775,516
E09000032,Couple/lone parent with no dependent children,Black: Caribbean,1378,1199,1123
E09000032,Couple/lone parent with no dependent children,Black: Other,262,231,67
E09000032,Couple/lone parent with no dependent children,Mixed: Other,510,307,143
E09000032,Couple/lone parent with no dependent children,Mixed: White and Asian,400,265,173
E09000032,Couple/lone parent with no dependent children,Mixed: White and Black African,151,101,65
E09000032,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,273,191,82
E09000032,Couple/lone parent with no dependent children,Other,1181,507,288
E09000032,Couple/lone parent with no dependent children,White: British,20304,19829,17688
E09000032,Couple/lone parent with no dependent children,White: Irish,1240,1060,1132
E09000032,Couple/lone parent with no dependent children,White: Other,6623,5019,2914
E09000033,Couple/lone parent with no dependent children,Asian: Bangladeshi,299,234,90
E09000033,Couple/lone parent with no dependent children,Asian: Chinese,691,543,355
E09000033,Couple/lone parent with no dependent children,Asian: Indian,975,855,500
E09000033,Couple/lone parent with no dependent children,Asian: Other,903,1004,254
E09000033,Couple/lone parent with no dependent children,Asian: Pakistani,224,207,146
E09000033,Couple/lone parent with no dependent children,Black: African,777,443,306
E09000033,Couple/lone parent with no dependent children,Black: Caribbean,542,474,483
E09000033,Couple/lone parent with no dependent children,Black: Other,139,171,61
E09000033,Couple/lone parent with no dependent children,Mixed: Other,372,264,153
E09000033,Couple/lone parent with no dependent children,Mixed: White and Asian,228,235,160
E09000033,Couple/lone parent with no dependent children,Mixed: White and Black African,167,101,67
E09000033,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,140,92,79
E09000033,Couple/lone parent with no dependent children,Other,2351,1532,656
E09000033,Couple/lone parent with no dependent children,White: British,7397,9488,9104
E09000033,Couple/lone parent with no dependent children,White: Irish,605,643,811
E09000033,Couple/lone parent with no dependent children,White: Other,6424,6187,4524
