date,geography_code,c2021_acctype_6_name,c2021_depch_3_name,c2021_bedrooms_5_name,obs_value
2021,E09000002,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,1245
2021,E09000002,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,424
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,57
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,2044
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,4335
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,1992
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,39
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,1355
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,4808
2021,E09000002,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,2131
2021,E09000002,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,88
2021,E09000002,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,4511
2021,E09000002,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,6793
2021,E09000002,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,2104
2021,E09000002,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,29
2021,E09000002,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,3040
2021,E09000002,Whole house or bungalow: Terraced,Aged 10 to 18 years,3 bedrooms,7011
2021,E09000002,Whole house or bungalow: Terraced,Aged 10 to 18 years,4 or more bedrooms,2528
2021,E09000002,"Flat, maisonette or apartment",Aged 0 to 9 years,1 bedroom,2306
2021,E09000002,"Flat, maisonette or apartment",Aged 0 to 9 years,2 bedrooms,6780
2021,E09000002,"Flat, maisonette or apartment",Aged 0 to 9 years,3 bedrooms,1841
