lower_tier_local_authorities_code,lower_tier_local_authorities,country_of_birth_8,sex_2,age_10,observation
E09000001,City of London,Europe: United Kingdom,Female,Aged 15 years and under,252
E09000001,City of London,Europe: United Kingdom,Female,Aged 16 to 19 years,59
E09000001,City of London,Europe: United Kingdom,Female,Aged 20 to 21 years,39
E09000001,City of London,Europe: United Kingdom,Female,Aged 22 to 24 years,146
E09000001,City of London,Europe: United Kingdom,Female,Aged 25 to 29 years,191
E09000001,City of London,Europe: United Kingdom,Female,Aged 30 to 34 years,143
E09000001,City of London,Europe: United Kingdom,Female,Aged 35 to 39 years,96
E09000001,City of London,Europe: United Kingdom,Female,Aged 40 to 44 years,71
E09000001,City of London,Europe: United Kingdom,Female,Aged 45 to 49 years,74
E09000001,City of London,Europe: United Kingdom,Female,Aged 50 years and over,751
E09000001,City of London,Europe: United Kingdom,Male,Aged 15 years and under,262
E09000001,City of London,Europe: United Kingdom,Male,Aged 16 to 19 years,56
E09000001,City of London,Europe: United Kingdom,Male,Aged 20 to 21 years,49
E09000001,City of London,Europe: United Kingdom,Male,Aged 22 to 24 years,149
E09000001,City of London,Europe: United Kingdom,Male,Aged 25 to 29 years,256
E09000001,City of London,Europe: United Kingdom,Male,Aged 30 to 34 years,193
E09000001,City of London,Europe: United Kingdom,Male,Aged 35 to 39 years,177
E09000001,City of London,Europe: United Kingdom,Male,Aged 40 to 44 years,153
E09000001,City of London,Europe: United Kingdom,Male,Aged 45 to 49 years,165
E09000001,City of London,Europe: United Kingdom,Male,Aged 50 years and over,1051
E09000001,City of London,Europe: Ireland,Female,Aged 15 years and under,0
E09000001,City of London,Europe: Ireland,Female,Aged 16 to 19 years,0
E09000001,City of London,Europe: Ireland,Female,Aged 20 to 21 years,0
E09000001,City of London,Europe: Ireland,Female,Aged 22 to 24 years,2
E09000001,City of London,Europe: Ireland,Female,Aged 25 to 29 years,2
E09000001,City of London,Europe: Ireland,Female,Aged 30 to 34 years,6
E09000001,City of London,Europe: Ireland,Female,Aged 35 to 39 years,3
E09000001,City of London,Europe: Ireland,Female,Aged 40 to 44 years,1
E09000001,City of London,Europe: Ireland,Female,Aged 45 to 49 years,5
E09000001,City of London,Europe: Ireland,Female,Aged 50 years and over,18
E09000001,City of London,Europe: Ireland,Male,Aged 15 years and under,1
E09000001,City of London,Europe: Ireland,Male,Aged 16 to 19 years,0
E09000001,City of London,Europe: Ireland,Male,Aged 20 to 21 years,2
E09000001,City of London,Europe: Ireland,Male,Aged 22 to 24 years,2
E09000001,City of London,Europe: Ireland,Male,Aged 25 to 29 years,5
E09000001,City of London,Europe: Ireland,Male,Aged 30 to 34 years,9
E09000001,City of London,Europe: Ireland,Male,Aged 35 to 39 years,4
E09000001,City of London,Europe: Ireland,Male,Aged 40 to 44 years,5
E09000001,City of London,Europe: Ireland,Male,Aged 45 to 49 years,7
E09000001,City of London,Europe: Ireland,Male,Aged 50 years and over,28
E09000001,City of London,Europe: Other Europe,Female,Aged 15 years and under,16
E09000001,City of London,Europe: Other Europe,Female,Aged 16 to 19 years,27
E09000001,City of London,Europe: Other Europe,Female,Aged 20 to 21 years,34
E09000001,City of London,Europe: Other Europe,Female,Aged 22 to 24 years,96
E09000001,City of London,Europe: Other Europe,Female,Aged 25 to 29 years,177
E09000001,City of London,Europe: Other Europe,Female,Aged 30 to 34 years,155
E09000001,City of London,Europe: Other Europe,Female,Aged 35 to 39 years,102
E09000001,City of London,Europe: Other Europe,Female,Aged 40 to 44 years,74
E09000001,City of London,Europe: Other Europe,Female,Aged 45 to 49 years,52
E09000001,City of London,Europe: Other Europe,Female,Aged 50 years and over,133
E09000001,City of London,Europe: Other Europe,Male,Aged 15 years and under,14
E09000001,City of London,Europe: Other Europe,Male,Aged 16 to 19 years,15
E09000001,City of London,Europe: Other Europe,Male,Aged 20 to 21 years,29
E09000001,City of London,Europe: Other Europe,Male,Aged 22 to 24 years,75
E09000001,City of London,Europe: Other Europe,Male,Aged 25 to 29 years,226
E09000001,City of London,Europe: Other Europe,Male,Aged 30 to 34 years,157
E09000001,City of London,Europe: Other Europe,Male,Aged 35 to 39 years,119
E09000001,City of London,Europe: Other Europe,Male,Aged 40 to 44 years,84
E09000001,City of London,Europe: Other Europe,Male,Aged 45 to 49 years,77
E09000001,City of London,Europe: Other Europe,Male,Aged 50 years and over,166
E09000001,City of London,Africa,Female,Aged 15 years and under,2
E09000001,City of London,Africa,Female,Aged 16 to 19 years,2
E09000001,City of London,Africa,Female,Aged 20 to 21 years,4
E09000001,City of London,Africa,Female,Aged 22 to 24 years,11
E09000001,City of London,Africa,Female,Aged 25 to 29 years,10
E09000001,City of London,Africa,Female,Aged 30 to 34 years,13
E09000001,City of London,Africa,Female,Aged 35 to 39 years,13
E09000001,City of London,Africa,Female,Aged 40 to 44 years,9
E09000001,City of London,Africa,Female,Aged 45 to 49 years,7
E09000001,City of London,Africa,Female,Aged 50 years and over,74
E09000001,City of London,Africa,Male,Aged 15 years and under,1
E09000001,City of London,Africa,Male,Aged 16 to 19 years,1
E09000001,City of London,Africa,Male,Aged 20 to 21 years,2
E09000001,City of London,Africa,Male,Aged 22 to 24 years,6
E09000001,City of London,Africa,Male,Aged 25 to 29 years,15
E09000001,City of London,Africa,Male,Aged 30 to 34 years,17
E09000001,City of London,Africa,Male,Aged 35 to 39 years,17
E09000001,City of London,Africa,Male,Aged 40 to 44 years,17
E09000001,City of London,Africa,Male,Aged 45 to 49 years,19
E09000001,City of London,Africa,Male,Aged 50 years and over,72
E09000001,City of London,Middle East and Asia,Female,Aged 15 years and under,10
E09000001,City of London,Middle East and Asia,Female,Aged 16 to 19 years,7
E09000001,City of London,Middle East and Asia,Female,Aged 20 to 21 years,39
E09000001,City of London,Middle East and Asia,Female,Aged 22 to 24 years,88
E09000001,City of London,Middle East and Asia,Female,Aged 25 to 29 years,136
E09000001,City of London,Middle East and Asia,Female,Aged 30 to 34 years,78
E09000001,City of London,Middle East and Asia,Female,Aged 35 to 39 years,42
E09000001,City of London,Middle East and Asia,Female,Aged 40 to 44 years,29
E09000001,City of London,Middle East and Asia,Female,Aged 45 to 49 years,33
E09000001,City of London,Middle East and Asia,Female,Aged 50 years and over,157
E09000001,City of London,Middle East and Asia,Male,Aged 15 years and under,7
E09000001,City of London,Middle East and Asia,Male,Aged 16 to 19 years,8
E09000001,City of London,Middle East and Asia,Male,Aged 20 to 21 years,25
E09000001,City of London,Middle East and Asia,Male,Aged 22 to 24 years,94
E09000001,City of London,Middle East and Asia,Male,Aged 25 to 29 years,97
E09000001,City of London,Middle East and Asia,Male,Aged 30 to 34 years,97
E09000001,City of London,Middle East and Asia,Male,Aged 35 to 39 years,53
E09000001,City of London,Middle East and Asia,Male,Aged 40 to 44 years,39
E09000001,City of London,Middle East and Asia,Male,Aged 45 to 49 years,33
E09000001,City of London,Middle East and Asia,Male,Aged 50 years and over,95
E09000001,City of London,The Americas and the Caribbean,Female,Aged 15 years and under,1
E09000001,City of London,The Americas and the Caribbean,Female,Aged 16 to 19 years,6
E09000001,City of London,The Americas and the Caribbean,Female,Aged 20 to 21 years,6
E09000001,City of London,The Americas and the Caribbean,Female,Aged 22 to 24 years,24
E09000001,City of London,The Americas and the Caribbean,Female,Aged 25 to 29 years,34
E09000001,City of London,The Americas and the Caribbean,Female,Aged 30 to 34 years,57
E09000001,City of London,The Americas and the Caribbean,Female,Aged 35 to 39 years,36
E09000001,City of London,The Americas and the Caribbean,Female,Aged 40 to 44 years,29
E09000001,City of London,The Americas and the Caribbean,Female,Aged 45 to 49 years,20
E09000001,City of London,The Americas and the Caribbean,Female,Aged 50 years and over,94
E09000001,City of London,The Americas and the Caribbean,Male,Aged 15 years and under,10
E09000001,City of London,The Americas and the Caribbean,Male,Aged 16 to 19 years,7
E09000001,City of London,The Americas and the Caribbean,Male,Aged 20 to 21 years,8
E09000001,City of London,The Americas and the Caribbean,Male,Aged 22 to 24 years,27
E09000001,City of London,The Americas and the Caribbean,Male,Aged 25 to 29 years,33
E09000001,City of London,The Americas and the Caribbean,Male,Aged 30 to 34 years,50
E09000001,City of London,The Americas and the Caribbean,Male,Aged 35 to 39 years,43
E09000001,City of London,The Americas and the Caribbean,Male,Aged 40 to 44 years,22
E09000001,City of London,The Americas and the Caribbean,Male,Aged 45 to 49 years,35
E09000001,City of London,The Americas and the Caribbean,Male,Aged 50 years and over,106
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 15 years and under,2
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 16 to 19 years,0
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 20 to 21 years,0
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 22 to 24 years,1
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 25 to 29 years,11
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 30 to 34 years,10
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 35 to 39 years,6
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 40 to 44 years,9
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 45 to 49 years,7
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Female,Aged 50 years and over,22
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 15 years and under,2
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 16 to 19 years,0
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 20 to 21 years,8
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 22 to 24 years,3
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 25 to 29 years,20
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 30 to 34 years,16
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 35 to 39 years,12
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 40 to 44 years,7
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 45 to 49 years,12
E09000001,City of London,Antarctica and Oceania (including Australasia) and Other,Male,Aged 50 years and over,55
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 15 years and under,24600
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 16 to 19 years,4071
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 20 to 21 years,1492
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 22 to 24 years,2468
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 25 to 29 years,4066
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 30 to 34 years,3913
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 35 to 39 years,3317
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 40 to 44 years,2708
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 45 to 49 years,2653
E09000002,Barking and Dagenham,Europe: United Kingdom,Female,Aged 50 years and over,16570
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 15 years and under,25765
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 16 to 19 years,4362
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 20 to 21 years,1581
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 22 to 24 years,2445
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 25 to 29 years,3813
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 30 to 34 years,3246
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 35 to 39 years,2787
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 40 to 44 years,2371
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 45 to 49 years,2253
E09000002,Barking and Dagenham,Europe: United Kingdom,Male,Aged 50 years and over,14000
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 15 years and under,52
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 16 to 19 years,33
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 20 to 21 years,6
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 22 to 24 years,12
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 25 to 29 years,13
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 30 to 34 years,10
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 35 to 39 years,15
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 40 to 44 years,16
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 45 to 49 years,31
E09000002,Barking and Dagenham,Europe: Ireland,Female,Aged 50 years and over,424
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 15 years and under,49
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 16 to 19 years,74
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 20 to 21 years,6
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 22 to 24 years,5
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 25 to 29 years,2
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 30 to 34 years,13
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 35 to 39 years,15
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 40 to 44 years,9
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 45 to 49 years,22
E09000002,Barking and Dagenham,Europe: Ireland,Male,Aged 50 years and over,266
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 15 years and under,2077
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 16 to 19 years,898
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 20 to 21 years,537
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 22 to 24 years,937
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 25 to 29 years,2030
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 30 to 34 years,2380
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 35 to 39 years,2449
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 40 to 44 years,2024
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 45 to 49 years,1439
E09000002,Barking and Dagenham,Europe: Other Europe,Female,Aged 50 years and over,2570
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 15 years and under,2233
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 16 to 19 years,917
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 20 to 21 years,441
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 22 to 24 years,835
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 25 to 29 years,1792
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 30 to 34 years,2428
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 35 to 39 years,2376
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 40 to 44 years,2008
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 45 to 49 years,1597
E09000002,Barking and Dagenham,Europe: Other Europe,Male,Aged 50 years and over,2440
E09000002,Barking and Dagenham,Africa,Female,Aged 15 years and under,367
E09000002,Barking and Dagenham,Africa,Female,Aged 16 to 19 years,262
E09000002,Barking and Dagenham,Africa,Female,Aged 20 to 21 years,153
E09000002,Barking and Dagenham,Africa,Female,Aged 22 to 24 years,336
E09000002,Barking and Dagenham,Africa,Female,Aged 25 to 29 years,734
E09000002,Barking and Dagenham,Africa,Female,Aged 30 to 34 years,1224
E09000002,Barking and Dagenham,Africa,Female,Aged 35 to 39 years,1586
E09000002,Barking and Dagenham,Africa,Female,Aged 40 to 44 years,1935
E09000002,Barking and Dagenham,Africa,Female,Aged 45 to 49 years,1892
E09000002,Barking and Dagenham,Africa,Female,Aged 50 years and over,4010
E09000002,Barking and Dagenham,Africa,Male,Aged 15 years and under,389
E09000002,Barking and Dagenham,Africa,Male,Aged 16 to 19 years,340
E09000002,Barking and Dagenham,Africa,Male,Aged 20 to 21 years,133
E09000002,Barking and Dagenham,Africa,Male,Aged 22 to 24 years,419
E09000002,Barking and Dagenham,Africa,Male,Aged 25 to 29 years,600
E09000002,Barking and Dagenham,Africa,Male,Aged 30 to 34 years,748
E09000002,Barking and Dagenham,Africa,Male,Aged 35 to 39 years,1006
E09000002,Barking and Dagenham,Africa,Male,Aged 40 to 44 years,1161
E09000002,Barking and Dagenham,Africa,Male,Aged 45 to 49 years,1459
E09000002,Barking and Dagenham,Africa,Male,Aged 50 years and over,4025
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 15 years and under,663
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 16 to 19 years,306
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 20 to 21 years,193
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 22 to 24 years,440
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 25 to 29 years,1082
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 30 to 34 years,2161
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 35 to 39 years,2357
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 40 to 44 years,2070
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 45 to 49 years,1418
E09000002,Barking and Dagenham,Middle East and Asia,Female,Aged 50 years and over,3272
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 15 years and under,746
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 16 to 19 years,395
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 20 to 21 years,204
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 22 to 24 years,421
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 25 to 29 years,846
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 30 to 34 years,1685
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 35 to 39 years,2424
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 40 to 44 years,2428
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 45 to 49 years,1856
E09000002,Barking and Dagenham,Middle East and Asia,Male,Aged 50 years and over,3654
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 15 years and under,84
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 16 to 19 years,41
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 20 to 21 years,26
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 22 to 24 years,64
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 25 to 29 years,133
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 30 to 34 years,131
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 35 to 39 years,157
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 40 to 44 years,214
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 45 to 49 years,174
E09000002,Barking and Dagenham,The Americas and the Caribbean,Female,Aged 50 years and over,920
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 15 years and under,94
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 16 to 19 years,109
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 20 to 21 years,22
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 22 to 24 years,60
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 25 to 29 years,101
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 30 to 34 years,102
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 35 to 39 years,134
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 40 to 44 years,119
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 45 to 49 years,108
E09000002,Barking and Dagenham,The Americas and the Caribbean,Male,Aged 50 years and over,576
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 15 years and under,1
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 16 to 19 years,0
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 20 to 21 years,2
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 22 to 24 years,2
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 25 to 29 years,2
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 30 to 34 years,6
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 35 to 39 years,10
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 40 to 44 years,7
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 45 to 49 years,10
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Female,Aged 50 years and over,30
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 15 years and under,3
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 16 to 19 years,3
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 20 to 21 years,2
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 22 to 24 years,1
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 25 to 29 years,2
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 30 to 34 years,7
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 35 to 39 years,5
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 40 to 44 years,7
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 45 to 49 years,15
E09000002,Barking and Dagenham,Antarctica and Oceania (including Australasia) and Other,Male,Aged 50 years and over,22
E09000003,Barnet,Europe: United Kingdom,Female,Aged 15 years and under,33451
E09000003,Barnet,Europe: United Kingdom,Female,Aged 16 to 19 years,6094
E09000003,Barnet,Europe: United Kingdom,Female,Aged 20 to 21 years,2352
E09000003,Barnet,Europe: United Kingdom,Female,Aged 22 to 24 years,4425
E09000003,Barnet,Europe: United Kingdom,Female,Aged 25 to 29 years,7532
E09000003,Barnet,Europe: United Kingdom,Female,Aged 30 to 34 years,6528
E09000003,Barnet,Europe: United Kingdom,Female,Aged 35 to 39 years,5742
E09000003,Barnet,Europe: United Kingdom,Female,Aged 40 to 44 years,5626
E09000003,Barnet,Europe: United Kingdom,Female,Aged 45 to 49 years,5558
E09000003,Barnet,Europe: United Kingdom,Female,Aged 50 years and over,32999
E09000003,Barnet,Europe: United Kingdom,Male,Aged 15 years and under,35913
E09000003,Barnet,Europe: United Kingdom,Male,Aged 16 to 19 years,6396
E09000003,Barnet,Europe: United Kingdom,Male,Aged 20 to 21 years,2305
E09000003,Barnet,Europe: United Kingdom,Male,Aged 22 to 24 years,4571
E09000003,Barnet,Europe: United Kingdom,Male,Aged 25 to 29 years,7318
E09000003,Barnet,Europe: United Kingdom,Male,Aged 30 to 34 years,6695
E09000003,Barnet,Europe: United Kingdom,Male,Aged 35 to 39 years,5939
E09000003,Barnet,Europe: United Kingdom,Male,Aged 40 to 44 years,5822
E09000003,Barnet,Europe: United Kingdom,Male,Aged 45 to 49 years,5587
E09000003,Barnet,Europe: United Kingdom,Male,Aged 50 years and over,30439
E09000003,Barnet,Europe: Ireland,Female,Aged 15 years and under,41
E09000003,Barnet,Europe: Ireland,Female,Aged 16 to 19 years,32
E09000003,Barnet,Europe: Ireland,Female,Aged 20 to 21 years,15
E09000003,Barnet,Europe: Ireland,Female,Aged 22 to 24 years,46
E09000003,Barnet,Europe: Ireland,Female,Aged 25 to 29 years,117
E09000003,Barnet,Europe: Ireland,Female,Aged 30 to 34 years,83
E09000003,Barnet,Europe: Ireland,Female,Aged 35 to 39 years,116
E09000003,Barnet,Europe: Ireland,Female,Aged 40 to 44 years,98
E09000003,Barnet,Europe: Ireland,Female,Aged 45 to 49 years,139
E09000003,Barnet,Europe: Ireland,Female,Aged 50 years and over,1894
E09000003,Barnet,Europe: Ireland,Male,Aged 15 years and under,47
E09000003,Barnet,Europe: Ireland,Male,Aged 16 to 19 years,31
E09000003,Barnet,Europe: Ireland,Male,Aged 20 to 21 years,11
E09000003,Barnet,Europe: Ireland,Male,Aged 22 to 24 years,20
E09000003,Barnet,Europe: Ireland,Male,Aged 25 to 29 years,57
E09000003,Barnet,Europe: Ireland,Male,Aged 30 to 34 years,87
E09000003,Barnet,Europe: Ireland,Male,Aged 35 to 39 years,145
E09000003,Barnet,Europe: Ireland,Male,Aged 40 to 44 years,148
E09000003,Barnet,Europe: Ireland,Male,Aged 45 to 49 years,121
E09000003,Barnet,Europe: Ireland,Male,Aged 50 years and over,1433
E09000003,Barnet,Europe: Other Europe,Female,Aged 15 years and under,2255
E09000003,Barnet,Europe: Other Europe,Female,Aged 16 to 19 years,910
E09000003,Barnet,Europe: Other Europe,Female,Aged 20 to 21 years,866
E09000003,Barnet,Europe: Other Europe,Female,Aged 22 to 24 years,1918
E09000003,Barnet,Europe: Other Europe,Female,Aged 25 to 29 years,3964
E09000003,Barnet,Europe: Other Europe,Female,Aged 30 to 34 years,4528
E09000003,Barnet,Europe: Other Europe,Female,Aged 35 to 39 years,4707
E09000003,Barnet,Europe: Other Europe,Female,Aged 40 to 44 years,4352
E09000003,Barnet,Europe: Other Europe,Female,Aged 45 to 49 years,3066
E09000003,Barnet,Europe: Other Europe,Female,Aged 50 years and over,8335
E09000003,Barnet,Europe: Other Europe,Male,Aged 15 years and under,2103
E09000003,Barnet,Europe: Other Europe,Male,Aged 16 to 19 years,999
E09000003,Barnet,Europe: Other Europe,Male,Aged 20 to 21 years,607
E09000003,Barnet,Europe: Other Europe,Male,Aged 22 to 24 years,1487
E09000003,Barnet,Europe: Other Europe,Male,Aged 25 to 29 years,3401
E09000003,Barnet,Europe: Other Europe,Male,Aged 30 to 34 years,3996
E09000003,Barnet,Europe: Other Europe,Male,Aged 35 to 39 years,4131
E09000003,Barnet,Europe: Other Europe,Male,Aged 40 to 44 years,3949
E09000003,Barnet,Europe: Other Europe,Male,Aged 45 to 49 years,2936
E09000003,Barnet,Europe: Other Europe,Male,Aged 50 years and over,6596
E09000003,Barnet,Africa,Female,Aged 15 years and under,411
E09000003,Barnet,Africa,Female,Aged 16 to 19 years,161
E09000003,Barnet,Africa,Female,Aged 20 to 21 years,156
E09000003,Barnet,Africa,Female,Aged 22 to 24 years,306
E09000003,Barnet,Africa,Female,Aged 25 to 29 years,760
E09000003,Barnet,Africa,Female,Aged 30 to 34 years,1121
E09000003,Barnet,Africa,Female,Aged 35 to 39 years,1200
E09000003,Barnet,Africa,Female,Aged 40 to 44 years,1409
E09000003,Barnet,Africa,Female,Aged 45 to 49 years,1586
E09000003,Barnet,Africa,Female,Aged 50 years and over,7602
E09000003,Barnet,Africa,Male,Aged 15 years and under,359
E09000003,Barnet,Africa,Male,Aged 16 to 19 years,237
E09000003,Barnet,Africa,Male,Aged 20 to 21 years,96
E09000003,Barnet,Africa,Male,Aged 22 to 24 years,293
E09000003,Barnet,Africa,Male,Aged 25 to 29 years,590
E09000003,Barnet,Africa,Male,Aged 30 to 34 years,895
E09000003,Barnet,Africa,Male,Aged 35 to 39 years,907
E09000003,Barnet,Africa,Male,Aged 40 to 44 years,1017
E09000003,Barnet,Africa,Male,Aged 45 to 49 years,1249
