inner_outer,dependent_children,ten_common,value_21,value_11,value_01
Inner,No dependent children in household,Owned,355948,361202,119336
Inner,No dependent children in household,Private rented or lives rent free,392655,352800,56195
Inner,No dependent children in household,Social rented,293345,287605,61506
Outer,No dependent children in household,Owned,785900,792033,342405
Outer,No dependent children in household,Private rented or lives rent free,307860,257621,52115
Outer,No dependent children in household,Social rented,214417,204712,45703
