date,geography_code,c_sex_name,c_age_name,c_cob_name,obs_value
2011,E09000007,Males,Age 35 to 49,Europe: United Kingdom: Scotland,540
2011,E09000007,Males,Age 35 to 49,Europe: United Kingdom: Wales,254
2011,E09000007,Males,Age 35 to 49,Europe: United Kingdom: Great Britain not otherwise specified,1
2011,E09000007,Males,Age 35 to 49,Europe: United Kingdom: United Kingdom not otherwise specified,5
2011,E09000007,Males,Age 35 to 49,Europe: Ireland,475
2011,E09000007,Males,Age 35 to 49,Europe: Other Europe: EU countries: Member countries in March 2001,2392
2011,E09000007,Males,Age 35 to 49,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,364
2011,E09000007,Males,Age 35 to 49,Europe: Other Europe: Rest of Europe,1000
2011,E09000007,Males,Age 35 to 49,Africa: North Africa,460
2011,E09000007,Males,Age 35 to 49,Africa: Central and Western Africa,363
2011,E09000007,Males,Age 35 to 49,Africa: South and Eastern Africa,1148
2011,E09000007,Males,Age 35 to 49,Africa: Africa not otherwise specified,7
2011,E09000007,Males,Age 35 to 49,Middle East and Asia: Middle East,851
2011,E09000007,Males,Age 35 to 49,Middle East and Asia: Eastern Asia,489
2011,E09000007,Males,Age 35 to 49,Middle East and Asia: Southern Asia,1666
2011,E09000007,Males,Age 35 to 49,Middle East and Asia: South-East Asia,468
2011,E09000007,Males,Age 35 to 49,Middle East and Asia: Central Asia,16
2011,E09000007,Males,Age 35 to 49,The Americas and the Caribbean: North America and the Caribbean,1275
2011,E09000007,Males,Age 35 to 49,The Americas and the Caribbean: Central and South America,493
2011,E09000007,Males,Age 35 to 49,Antarctica and Oceania (including Australasia),776
2011,E09000007,Males,Age 35 to 49,Other,0
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: England,8022
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: Northern Ireland,201
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: Scotland,496
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: Wales,205
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: Great Britain not otherwise specified,4
2011,E09000007,Males,Age 50 to 64,Europe: United Kingdom: United Kingdom not otherwise specified,3
2011,E09000007,Males,Age 50 to 64,Europe: Ireland,735
2011,E09000007,Males,Age 50 to 64,Europe: Other Europe: EU countries: Member countries in March 2001,707
2011,E09000007,Males,Age 50 to 64,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,283
2011,E09000007,Males,Age 50 to 64,Europe: Other Europe: Rest of Europe,342
2011,E09000007,Males,Age 50 to 64,Africa: North Africa,222
2011,E09000007,Males,Age 50 to 64,Africa: Central and Western Africa,249
2011,E09000007,Males,Age 50 to 64,Africa: South and Eastern Africa,622
2011,E09000007,Males,Age 50 to 64,Africa: Africa not otherwise specified,9
2011,E09000007,Males,Age 50 to 64,Middle East and Asia: Middle East,465
2011,E09000007,Males,Age 50 to 64,Middle East and Asia: Eastern Asia,207
2011,E09000007,Males,Age 50 to 64,Middle East and Asia: Southern Asia,697
2011,E09000007,Males,Age 50 to 64,Middle East and Asia: South-East Asia,273
2011,E09000007,Males,Age 50 to 64,Middle East and Asia: Central Asia,3
2011,E09000007,Males,Age 50 to 64,The Americas and the Caribbean: North America and the Caribbean,672
2011,E09000007,Males,Age 50 to 64,The Americas and the Caribbean: Central and South America,194
2011,E09000007,Males,Age 50 to 64,Antarctica and Oceania (including Australasia),191
2011,E09000007,Males,Age 50 to 64,Other,0
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: England,3206
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: Northern Ireland,75
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: Scotland,221
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: Wales,106
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Males,Age 65 to 74,Europe: United Kingdom: United Kingdom not otherwise specified,0
2011,E09000007,Males,Age 65 to 74,Europe: Ireland,496
2011,E09000007,Males,Age 65 to 74,Europe: Other Europe: EU countries: Member countries in March 2001,280
2011,E09000007,Males,Age 65 to 74,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,150
2011,E09000007,Males,Age 65 to 74,Europe: Other Europe: Rest of Europe,92
2011,E09000007,Males,Age 65 to 74,Africa: North Africa,68
2011,E09000007,Males,Age 65 to 74,Africa: Central and Western Africa,91
2011,E09000007,Males,Age 65 to 74,Africa: South and Eastern Africa,220
2011,E09000007,Males,Age 65 to 74,Africa: Africa not otherwise specified,1
2011,E09000007,Males,Age 65 to 74,Middle East and Asia: Middle East,139
2011,E09000007,Males,Age 65 to 74,Middle East and Asia: Eastern Asia,57
2011,E09000007,Males,Age 65 to 74,Middle East and Asia: Southern Asia,371
2011,E09000007,Males,Age 65 to 74,Middle East and Asia: South-East Asia,61
2011,E09000007,Males,Age 65 to 74,Middle East and Asia: Central Asia,1
2011,E09000007,Males,Age 65 to 74,The Americas and the Caribbean: North America and the Caribbean,287
2011,E09000007,Males,Age 65 to 74,The Americas and the Caribbean: Central and South America,46
2011,E09000007,Males,Age 65 to 74,Antarctica and Oceania (including Australasia),56
2011,E09000007,Males,Age 65 to 74,Other,0
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: England,1797
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: Northern Ireland,48
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: Scotland,97
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: Wales,38
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Males,Age 75 to 84,Europe: United Kingdom: United Kingdom not otherwise specified,1
2011,E09000007,Males,Age 75 to 84,Europe: Ireland,305
2011,E09000007,Males,Age 75 to 84,Europe: Other Europe: EU countries: Member countries in March 2001,198
2011,E09000007,Males,Age 75 to 84,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,136
2011,E09000007,Males,Age 75 to 84,Europe: Other Europe: Rest of Europe,40
2011,E09000007,Males,Age 75 to 84,Africa: North Africa,34
2011,E09000007,Males,Age 75 to 84,Africa: Central and Western Africa,46
2011,E09000007,Males,Age 75 to 84,Africa: South and Eastern Africa,103
2011,E09000007,Males,Age 75 to 84,Africa: Africa not otherwise specified,2
2011,E09000007,Males,Age 75 to 84,Middle East and Asia: Middle East,64
2011,E09000007,Males,Age 75 to 84,Middle East and Asia: Eastern Asia,41
2011,E09000007,Males,Age 75 to 84,Middle East and Asia: Southern Asia,279
2011,E09000007,Males,Age 75 to 84,Middle East and Asia: South-East Asia,26
2011,E09000007,Males,Age 75 to 84,Middle East and Asia: Central Asia,1
2011,E09000007,Males,Age 75 to 84,The Americas and the Caribbean: North America and the Caribbean,124
2011,E09000007,Males,Age 75 to 84,The Americas and the Caribbean: Central and South America,22
2011,E09000007,Males,Age 75 to 84,Antarctica and Oceania (including Australasia),34
2011,E09000007,Males,Age 75 to 84,Other,0
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: England,589
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: Northern Ireland,7
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: Scotland,35
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: Wales,19
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Males,Age 85 and over,Europe: United Kingdom: United Kingdom not otherwise specified,0
2011,E09000007,Males,Age 85 and over,Europe: Ireland,62
2011,E09000007,Males,Age 85 and over,Europe: Other Europe: EU countries: Member countries in March 2001,85
2011,E09000007,Males,Age 85 and over,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,57
2011,E09000007,Males,Age 85 and over,Europe: Other Europe: Rest of Europe,12
2011,E09000007,Males,Age 85 and over,Africa: North Africa,5
2011,E09000007,Males,Age 85 and over,Africa: Central and Western Africa,7
2011,E09000007,Males,Age 85 and over,Africa: South and Eastern Africa,34
2011,E09000007,Males,Age 85 and over,Africa: Africa not otherwise specified,3
2011,E09000007,Males,Age 85 and over,Middle East and Asia: Middle East,21
2011,E09000007,Males,Age 85 and over,Middle East and Asia: Eastern Asia,9
2011,E09000007,Males,Age 85 and over,Middle East and Asia: Southern Asia,39
2011,E09000007,Males,Age 85 and over,Middle East and Asia: South-East Asia,5
2011,E09000007,Males,Age 85 and over,Middle East and Asia: Central Asia,0
2011,E09000007,Males,Age 85 and over,The Americas and the Caribbean: North America and the Caribbean,35
2011,E09000007,Males,Age 85 and over,The Americas and the Caribbean: Central and South America,5
2011,E09000007,Males,Age 85 and over,Antarctica and Oceania (including Australasia),13
2011,E09000007,Males,Age 85 and over,Other,1
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: England,15146
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: Northern Ireland,2
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: Scotland,20
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: Wales,17
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: Great Britain not otherwise specified,2
2011,E09000007,Females,Age 0 to 15,Europe: United Kingdom: United Kingdom not otherwise specified,12
2011,E09000007,Females,Age 0 to 15,Europe: Ireland,18
2011,E09000007,Females,Age 0 to 15,Europe: Other Europe: EU countries: Member countries in March 2001,439
